created_at,location,text,polarity
Sat Mar 04 18:48:37 +0000 2017,"Puerto Rico, USA","RT @DAVILACOLON: La colonia es tan desastrosa, que quiebra hasta sus propios monopolios: AEE, AAA, AC, AMA, ATM, etc",negative
Sat Mar 04 19:15:34 +0000 2017,"San Juan, Puerto Rico","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sat Mar 04 19:23:11 +0000 2017,"Puerto Rico, USA",Finally home from work. Now to check Twitter then watch Dragon Ball Super. Maybe I'll buy the Steam version of Nights of Azure.,negative
Sat Mar 04 19:52:24 +0000 2017,Puerto Rico,RT @ajplus: Climate change is making a huge impact on the world's former highest ski resort. https://t.co/qXYznBjCyF,negative
Sun Mar 05 14:44:51 +0000 2017,Puerto Rico,"RT @TheFunnyVine: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/jBLaNCi8Pk",negative
Sun Mar 05 16:04:53 +0000 2017,"Caguas, Puerto Rico ",Mi cheque se va en gasolina y peaje,negative
Sun Mar 05 16:05:26 +0000 2017,Colombia/Puerto Rico,Ayyy Luly!!! https://t.co/QG37ZsMTMU,negative
Sun Mar 05 16:07:46 +0000 2017,Puerto Rico,"Hemp, Inc. Purchases CO2 Supercritical Extraction Unit for CBD Oil Production - Marketwired (press release) https://t.co/f8rksbZ9Jn",negative
Sun Mar 05 16:11:20 +0000 2017,"Puerto Rico, USA","RT @awkwardposts: perks of being ugly: 

phone battery lasts longer",negative
Sun Mar 05 17:05:14 +0000 2017,"Puerto Rico, USA",Take a look at this map to find out what New York City illuminated by #solar #energy looks like. https://t.co/v54i6S8iQt,negative
Sun Mar 05 17:06:03 +0000 2017,"Puerto Rico, USA",#NowPlaying Gasolina by Daddy Yankee #ChippahRadio #Listen https://t.co/2o8A5Gwlph https://t.co/L8YakzLjvC,negative
Sun Mar 05 17:09:15 +0000 2017,Puerto Rico,RT @MSGCapital: They can't keep track of a 250-ton jumbo jet but they know where crude is going? https://t.co/5PuLpxLD1k,negative
Sun Mar 05 17:09:23 +0000 2017,Puerto Rico,Deshaun Watson's stock jumped while DeShone Kizer stumbled at Saturday's #NFLCombine https://t.co/yIPrYWthv7 https://t.co/dX0EjSHYKY,negative
Sun Mar 05 17:41:51 +0000 2017,"Puerto Rico, USA",RT @techedvocate: Why Is It So Hard for #EdTech Startups to Sell to Schools? https://t.co/6NpIovV3a7 #steam https://t.co/whtcOGKEr7,negative
Sun Mar 05 17:52:27 +0000 2017,"NYC, Puerto Rico",#climatechange https://t.co/kaNj8lvf3w,negative
Sun Mar 05 20:16:16 +0000 2017,Puerto Rico ,RT @aliendel97: JAJAJA ayyy https://t.co/mwIZPvKzOU,negative
Sun Mar 05 20:53:50 +0000 2017,PUERTO RICO ,RT @ursarings: Global warming is real and killing is all https://t.co/0Rit5mYyZE,negative
Sun Mar 05 20:54:24 +0000 2017,PUERTO RICO ,RT @ursarings: Jajajajaj killing us all* even tho.... killing is truly all? Wow poetico https://t.co/trX9jBiNos,negative
Sun Mar 05 21:51:57 +0000 2017,"Gurabo, Puerto Rico",RT @GabrielMangual: Mi bellaca de alto voltaje nunca ha salido a la luz.,negative
Sun Mar 05 22:27:59 +0000 2017,Puerto Rico,"RT @EleanorJCalder: Rule #09 #forsuccessfulliving - Be Brave! @diesel @ London, United Kingdom https://t.co/hswSa4sBsq",negative
Sun Mar 05 22:29:18 +0000 2017,S.F. Bay/Puerto Rico,RT @marymad: Ummmm https://t.co/7C7k0AI2V7,negative
Mon Mar 06 14:33:17 +0000 2017,"U.S., Canada, and Puerto Rico",Happy Birthday to the Big Diesel @SHAQ! https://t.co/ANr4ztsOpQ,negative
Mon Mar 06 14:34:34 +0000 2017,Puerto Rico,"Julius Peppers will return for a 16th season, per RobDemovsky and vxmcclure23 https://t.co/ZUhuOieHWs https://t.co/y6fBePAiZP",negative
Mon Mar 06 14:44:11 +0000 2017,Puerto Rico,"Battery tech suitable for future iPhone promises 3x the power density, full charge in minutes https://t.co/amwiDiCKae",negative
Mon Mar 06 14:44:12 +0000 2017,Puerto Rico,"Battery tech suitable for future iPhone promises 3x the power density, full charge in minutes https://t.co/KOFClvyIPo",negative
Mon Mar 06 15:09:43 +0000 2017,Puerto Rico ,"RT @Capturingart: Marti Gretfreund, oil on canvas https://t.co/mw9WtgIsx7",negative
Mon Mar 06 15:13:27 +0000 2017,Puerto Rico,RT @YanieYampier: Jajajajajajajajajajaja https://t.co/dwGNHTi7pI,negative
Mon Mar 06 16:17:49 +0000 2017,"Guatemala, Puerto Rico","RT @CBCAlerts: Emergency crews responding to diesel spill at fish farm off northern Vancouver Island, B.C. https://t.co/7I8h7PrJpT",negative
Mon Mar 06 17:11:24 +0000 2017,Puerto Rico,RT @greenpeaceusa: Yes! Reduced coal burning results in decline of mercury in tuna contamination! https://t.co/5i9nRAfunk,negative
Mon Mar 06 17:14:03 +0000 2017,Puerto Rico,#isreal https://t.co/S2Jr3YD52N,negative
Mon Mar 06 17:16:54 +0000 2017,"Puerto Rico, USA",RT @BleacherReport: All eyes are on bubble teams now that championship week is here https://t.co/qdnrzesi2K https://t.co/f1i6MYBfuX,negative
Mon Mar 06 17:19:40 +0000 2017,Puerto Rico,All eyes are on bubble teams now that championship week is here https://t.co/mqVSxiVXm6 https://t.co/OnvKJKiLjB,negative
Mon Mar 06 17:49:11 +0000 2017,Puerto Rico,Kansas enters championship week atop the AP Poll https://t.co/0FChLE2xUj https://t.co/vbDX8DivVn,negative
Mon Mar 06 17:52:21 +0000 2017,"Isabela, Puerto Rico",RT @marvelvscapcom: Only one more day before Ultimate Marvel vs. Capcom 3 drops on Xbox One and Steam! https://t.co/85X223z0zl,negative
Mon Mar 06 18:17:11 +0000 2017,Puerto Rico ,RT @BleacherReport: Kansas enters championship week atop the AP Poll https://t.co/gp4vg8OphZ https://t.co/XNzJa6OVNE,negative
Mon Mar 06 18:17:33 +0000 2017,Puerto Rico & England,RT @PegFitzpatrick: How #ContentMarketing Can Fuel your Entrepreneurial Success - https://t.co/xlJ5I0jLiV https://t.co/PSnwlwE9Di,negative
Mon Mar 06 18:56:02 +0000 2017,"san juan, puerto rico","por estar en sc mandando nudes, bellaca https://t.co/b7dOcPPoQ1",negative
Mon Mar 06 18:58:30 +0000 2017,Puerto Rico,RT @alxndrrra: Lmaoo https://t.co/I9I82pKVmb,negative
Mon Mar 06 19:24:09 +0000 2017,Puerto Rico,"From unranked to UFC champ in a year: Meet ""natural badass"" Cody Garbrandt #BRmag https://t.co/hwNUq63pdk https://t.co/ryvcl1dX3V",negative
Tue Mar 07 17:41:24 +0000 2017,"Caguas, Puerto Rico",@Carlitoalexis1 https://t.co/E0hTRQvHiC,negative
Tue Mar 07 17:45:30 +0000 2017,Sur de Puerto Rico,Ya mismo piden investigarlo. Jajaja. https://t.co/UCIMy4PLeM,negative
Tue Mar 07 17:45:37 +0000 2017,Puerto Rico,"New Solid-State Battery Tech Claims To Be Incombustible, Recharges Quickly, Holds 3x Charge https://t.co/mwr5HWeKv2",negative
Tue Mar 07 18:11:45 +0000 2017,Coamo Puerto Rico ,Cuando le digo a mami que el sobrante de la beca es pa gasolina y libros https://t.co/zQCmC3MOSp,negative
Tue Mar 07 18:46:12 +0000 2017,"Ponce, Puerto Rico",RT @CJavier0311: Dime que gasolina es esa que le echaste... https://t.co/hoUQKoTQHd,negative
Wed Mar 08 02:19:08 +0000 2017,"Puerto Rico, USA","@realDonaldTrump @exxonmobil Turning petrol to user goods is better than burning it as fuel, start changing toward that goal NOW! ZPE energy",negative
Wed Mar 08 02:23:51 +0000 2017,"Puerto Rico, USA",Te ayuda a pagar del Diesel lo juro,negative
Wed Mar 08 02:25:02 +0000 2017,Puerto Rico,*Listens to Gasolina once* https://t.co/iJgzyu0SUn,negative
Wed Mar 08 12:08:07 +0000 2017,Puerto Rico,Mosul residents outraged by IS 'hole fee' - Iraq Oil Report https://t.co/6B092HMLHs more@ https://t.co/m4re7yoNx2,negative
Wed Mar 08 13:58:17 +0000 2017,Puerto Rico,RT @HamboPR: For Honor pierde el 50% de sus jugadores en Steam https://t.co/ktrZNCTgwc https://t.co/JYWFi8vLsG,negative
Wed Mar 08 14:24:55 +0000 2017,"Puerto Rico, USA",Organizada con permisos (city permit). #NoEsLoMismo https://t.co/lR4ZMBtuCe @JessicaLabrador @jelguera https://t.co/hMK9f0jvtb,negative
Wed Mar 08 14:25:31 +0000 2017,"San Juan,Puerto Rico","RT @physorg_com: Rising CO2 due to climate change may not improve agriculture, model shows https://t.co/wGSozD2PG8 @LifeAtPurdue",negative
Wed Mar 08 14:55:44 +0000 2017,Puerto Rico,"esto es trampa... que bueno que es el ""gran"" Eli el QB https://t.co/OkGU5NoBfr",negative
Wed Mar 08 15:05:40 +0000 2017,"San Juan, Puerto Rico",AAA: Not All Gasoline Created Equal https://t.co/UHpR6RDn4V,negative
Wed Mar 08 20:07:46 +0000 2017,"Guaynabo, Puerto Rico",Check out Valve Steam Wireless Controller Gamepad for Windows Mac Linux Game Pad PC Play https://t.co/4ekOBzN6DN @eBay,negative
Wed Mar 08 20:08:39 +0000 2017,"Guaynabo, Puerto Rico",Check out Nike KD VI GS Black Volt Vivid Blue Dark Grey 599477-006 (Youth Sz6) https://t.co/uulNRXUeCs @eBay,negative
Wed Mar 08 20:51:32 +0000 2017,Puerto Rico,Tesla built a huge solar energy plant on the island of Kauai https://t.co/B4Qb4B3yHq https://t.co/QQxPMKqwF6,negative
Wed Mar 08 21:27:13 +0000 2017,Puerto Rico,"same, yo le pago hasta la gasolina https://t.co/qMrxlqvVFS",negative
Wed Mar 08 21:38:13 +0000 2017,Puerto Rico,How things have changed for Luke Kennard #BRmag https://t.co/ivXTEQk4O3 https://t.co/O2145FdrM9,negative
Wed Mar 08 22:02:43 +0000 2017,"Corozal, Puerto Rico",ANDA YO BAILABA ESA CANCION CUANDO BEBE JAJAJJSJSJSJSJSK https://t.co/pAMkbPUHYJ,negative
Wed Mar 08 22:04:28 +0000 2017,Puerto Rico,"RT @BleacherReport: Out with the old, in with the new

MJ is moving on to elephant print https://t.co/FV0E3PiXaU https://t.co/lGjj1ho7YF",negative
Wed Mar 08 22:33:22 +0000 2017,Puerto Rico,"Kentucky. UCLA. Kansas. 

Where does your favorite CBB program rank by current NBA talent https://t.co/VTPg8uZ0xV https://t.co/liaknZ0vyY",negative
Wed Mar 08 22:40:18 +0000 2017,"Puerto Rico,Misiones,Argentina",RT @julian_alles: Jajajajajajajajaja https://t.co/Xm4enxD35c,negative
Wed Mar 08 22:59:45 +0000 2017,"Dorado, Puerto Rico",RT @IreneOrtiz7: @ashvany_suraj https://t.co/gXQP6fR86C,negative
Wed Mar 08 23:10:52 +0000 2017,Puerto Rico,I spend all this trouble moving the printer outside so it can reach the extension cord from the power plant........,negative
Wed Mar 08 23:30:57 +0000 2017,Puerto Rico-Misiones,RT @julian_alles: Jajajajajajajajaja https://t.co/Xm4enxD35c,negative
Wed Mar 08 23:34:44 +0000 2017,"Villalba, Puerto Rico",RT @vocabIy: if i text u with less than 10% battery ur a priority,negative
Thu Mar 09 00:03:49 +0000 2017,Puerto Rico,Grab keys for Games of Glory closed Beta Weekend ! You can also get prizes. https://t.co/f0vndOgIHk,negative
Thu Mar 09 00:08:53 +0000 2017,Puerto Rico,Get Economic Conquest for FREE on https://t.co/zseI8GzHPa #orlygift #free #steam #giveaway #indiedev,negative
Thu Mar 09 00:31:55 +0000 2017,"Cabo Rojo, Puerto Rico",Full https://t.co/apAKNuPlRO,negative
Thu Mar 09 01:40:13 +0000 2017,Puerto Rico,"RT @just1337develop: Hungry Flame on STEAM!
https://t.co/WpMPBEUJ6h
#gamedev #indiedev #indie #SteamNewRelease https://t.co/Qd1olNZeAl",negative
Thu Mar 09 01:52:53 +0000 2017,"San Lorenzo, Puerto Rico",GTSUN WITH charge controller https://t.co/rPG7Bcwk3g,negative
Thu Mar 09 02:27:12 +0000 2017,Puerto Rico,Burns/SSR Study Profiles Hot AC/AC Music Tastes https://t.co/FwdBbH9P5V,negative
Thu Mar 09 14:18:19 +0000 2017,Puerto Rico,"DeSean Jackson expected to sign with Bucs, per AdamSchefter https://t.co/yJvrDnPFQY https://t.co/bdbobBZ8cb",negative
Thu Mar 09 14:21:36 +0000 2017,"San Juan, Puerto Rico",RT @fivefifths: EPA chief doesn't believe CO2 contributes to climate change. Can't wait to live on a raft.,negative
Thu Mar 09 14:28:33 +0000 2017,"Puerto Rico, USA",Puerto Rico!!!! Escucha! https://t.co/4VbBu7LZle,negative
Thu Mar 09 14:54:12 +0000 2017,"Carolina, Puerto Rico",RT @RogueNASA: Oh. EPA chief Scott Pruitt says CO2 not a primary contributor to climate change. https://t.co/2lFaXNUVGA,negative
Thu Mar 09 16:29:40 +0000 2017,Puerto Rico,EPA head suggests CO2 isn't a 'primary contributor' to climate change https://t.co/mmVG5IArVb,negative
Thu Mar 09 17:22:45 +0000 2017, Puerto Rico,"RT @GayWeHoDogs4U: #Help me! I'm Diesel, an adult male #Chihuahua mix. #nkla #dogs #love  https://t.co/NRE7iPQQ1N https://t.co/J77JyVEkDN",negative
Thu Mar 09 17:27:11 +0000 2017,"San Juan, Puerto Rico",RT @AndyRichter: Maybe losing beachfront homes will make the GOP care about climate change https://t.co/75VxxtjeeR,negative
Thu Mar 09 17:52:16 +0000 2017,Puerto Rico,"Martellus Bennett and Raiders have mutual interest, per jeffphowe https://t.co/FbRIUDlcrp https://t.co/8TD8c1Haex",negative
Thu Mar 09 18:15:00 +0000 2017,Puerto Rico,Por si te lo perdiste; For Honor pierde el 50% de sus jugadores en Steam https://t.co/XhXa7WhcB4 https://t.co/sLl8CjmDYd,negative
Thu Mar 09 18:18:59 +0000 2017,"Florida Adentro, Puerto Rico",RT @HannibalBarca65: And he would be correct! https://t.co/4LqpzMNc74,negative
Thu Mar 09 18:46:55 +0000 2017,"Puerto Rico, USA","Tengo las ventanas abiertas, estoy en Guaynabo city y me estoy congelando y estamos en cuaresma... global warming is real, people.",negative
Thu Mar 09 19:07:47 +0000 2017,Puerto Rico,"Everyone has something to say about Lonzo's dad.

That doesn't bother Lonzo #BRmag https://t.co/IJz3dKgOjv https://t.co/xJR9G36wrd",negative
Thu Mar 09 19:08:23 +0000 2017,Puerto Rico y Uruguay   ,RT @LYSS_itUp: @adri_sofia4 @anna_lechner us https://t.co/acneoQzavb,negative
Thu Mar 09 19:12:52 +0000 2017,"Pueblo, Puerto Rico",RT @jonmachota: Tony Romo vs. J.J. Watt https://t.co/x4Z4udy04a,negative
Thu Mar 09 19:16:14 +0000 2017,"Puerto Rico, USA",#NowPlaying Give It Up by AC/DC #ChippahRadio #Listen https://t.co/2o8A5Gwlph https://t.co/Qa0C4Is7eb,negative
Thu Mar 09 19:37:03 +0000 2017,"Puerto Rico, USA","VG247: #GhostReconWildlands player numbers on Steam beat open beta stats
https://t.co/GwpFjFe8jh https://t.co/GnMOK0dTSk",negative
Thu Mar 09 19:39:19 +0000 2017,Puerto Rico,"RT @joxesantiago: ah, no c...bueno, zi c, pero no te voa decil. https://t.co/L8HkrIAPG3",negative
Thu Mar 09 19:40:34 +0000 2017,"San Juan, Puerto Rico","Bueno para Puerto Rico...
https://t.co/DiiEANegGW",negative
Thu Mar 09 19:43:32 +0000 2017,"San Juan, Puerto Rico",Jajajjajajaj yo con cualquier dembow https://t.co/NUTxPnH6NR,negative
Fri Mar 10 19:53:36 +0000 2017,"San Juan, Puerto Rico",One of the biggest oil companies in the world says faith in fossil fuels is 'disappearing' https://t.co/8z0jQRt6uA,negative
Fri Mar 10 20:53:27 +0000 2017,Puerto Rico,"Baked brownies using almond flour and coconut oil! They smell like pure chocolate, that's always a good sign. https://t.co/ZBMqJstmVw",negative
Fri Mar 10 21:23:03 +0000 2017,Puerto Rico,The biggest bracketology questions get answered https://t.co/N9QVqNUfIJ https://t.co/34sdUijhzC,negative
Fri Mar 10 21:33:30 +0000 2017,Puerto Rico,"RT @WorIdStarLaugh: *Gasolina starts playing* 
Friend: don't do it
Me:  https://t.co/iXSrSvOvGS",negative
Fri Mar 10 21:53:09 +0000 2017,Puerto Rico,Malik Monk continues to excite NBA scouts with his microwave scoring potential https://t.co/wZFhF940o0 https://t.co/F2l4VlLSC7,negative
Fri Mar 10 22:05:08 +0000 2017,"Puerto Rico, USA","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Fri Mar 10 22:28:06 +0000 2017,"San Lorenzo, Puerto Rico ","Nada nuevo hermano. Ellos saben que es ilegal, solo que no les importa. https://t.co/DByuVPocJs",negative
Fri Mar 10 22:28:36 +0000 2017,Puerto Rico ,"RT @jayfonsecapr: Nada nuevo hermano. Ellos saben que es ilegal, solo que no les importa. https://t.co/DByuVPocJs",negative
Fri Mar 10 23:36:16 +0000 2017,Puerto Rico,Nuclear Fuel From the Ocean Would Provide Thousands of Years Worth of Energy https://t.co/BWmlhPHKoi,negative
Fri Mar 10 23:42:29 +0000 2017,"San Juan, Puerto Rico","RT @jayfonsecapr: Nada nuevo hermano. Ellos saben que es ilegal, solo que no les importa. https://t.co/DByuVPocJs",negative
Fri Mar 10 23:44:09 +0000 2017,Puerto Rico,Entercom Puts Lineup in Place for Big Easy Urban AC. https://t.co/BA8u4SoN5o,negative
Sat Mar 11 00:11:51 +0000 2017,Puerto Rico,RT @DailyMemeSuppIy: Unbelievable that Club Penguin is shutting down yet people still deny the impact of climate change on our planet,negative
Sat Mar 11 00:13:56 +0000 2017,"Puerto Rico, USA",RT @Erickcuevas26: Vente tu cabbb https://t.co/SUdSzGklI0,negative
Sat Mar 11 00:14:34 +0000 2017,"San Juan, Puerto Rico",RT @DailyMemeSuppIy: Unbelievable that Club Penguin is shutting down yet people still deny the impact of climate change on our planet,negative
Sat Mar 11 00:19:06 +0000 2017,"Isabela, Puerto Rico",@LaaurenMartinn about as real as climate change,negative
Sat Mar 11 17:13:34 +0000 2017,"Guaraguao Abajo, Puerto Rico",RT @ryanlcooper: this is a 100x bigger threat to national security than anything having to do with Russia https://t.co/VeDXLem7VT,negative
Sat Mar 11 17:16:02 +0000 2017,"Las Piedras, Puerto Rico",RT @BleacherReport: LaMarcus Aldridge out indefinitely due to minor heart rhythm issues https://t.co/gqIAoiveX7 https://t.co/gks17v6crh,negative
Sat Mar 11 18:19:40 +0000 2017,"Puerto Rico, USA",RT @BleacherReport: LaMarcus Aldridge out indefinitely due to minor heart rhythm issues https://t.co/gqIAoiveX7 https://t.co/gks17v6crh,negative
Sat Mar 11 18:23:09 +0000 2017,Puerto Rico,"RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sat Mar 11 18:32:51 +0000 2017,"Puerto Rico, USA",@XHNews @ChinaDailyUSA @ChineseGov @USNavy @PDChina @USMC @JapanEmbDC @realDonaldTrump WHAT'S UR PLEASURE TWINS AC$? https://t.co/btMULCIwg3,negative
Sat Mar 11 19:25:29 +0000 2017,"Toa Alta, Puerto Rico",Steam Big Picture Mode is... not very... useful?,negative
Sat Mar 11 20:37:38 +0000 2017,"Ponce, Puerto Rico",Se los dije combo! https://t.co/3MkSvp3wtv,negative
Sat Mar 11 21:19:00 +0000 2017,Puerto Rico,RT @BleacherReport: LaMarcus Aldridge out indefinitely due to minor heart rhythm issues https://t.co/gqIAoiveX7 https://t.co/gks17v6crh,negative
Sat Mar 11 21:19:03 +0000 2017,Puerto Rico,"RT @BleacherReport: Jordan Cameron retiring from NFL due to concerns over concussions
https://t.co/lu8Dou6CME https://t.co/3SWZT0F3FP",negative
Sat Mar 11 21:43:40 +0000 2017,"Trujillo Alto, Puerto Rico","RT @appearance: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/kXLlmd537h",negative
Sat Mar 11 21:54:42 +0000 2017,"Puerto Rico, USA","RT @CECHR_UoD: Generating Power From Tidal Lagoons
http://t.co/0hpBTlDEdY #Wales #renewables http://t.co/DgpQT1RwQG",negative
Sat Mar 11 21:54:52 +0000 2017,Puerto Rico,"RT @appearance: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/kXLlmd537h",negative
Sat Mar 11 22:21:27 +0000 2017,"Puerto Rico, USA",@XHNews @ChinaDailyUSA @ChineseGov @USNavy @PDChina @USMC @JapanEmbDC @realDonaldTrump WE MUST FIND HIDDEN VOLT$$$$$ https://t.co/g6ZOSz3cG1,negative
Sat Mar 11 22:22:54 +0000 2017,Puerto Rico,i am not worthy for ur beauty https://t.co/UrnwYzFJxl,negative
Sat Mar 11 22:23:26 +0000 2017,"Puerto Rico, USA",@XHNews @ChinaDailyUSA @ChineseGov @USNavy @PDChina @USMC @JapanEmbDC @realDonaldTrump WAR CAMPAIGN MONEY VOLT$$$$$$ https://t.co/udAe8IyHTC,negative
Sat Mar 11 22:24:39 +0000 2017,"Westcoast , Puerto Rico ","*Sale Disenchanted*

*Yo empiezo a gritar toda la letra, hacer air guitar y a usar todo como una bateria* #BestSong",negative
Sat Mar 11 22:52:18 +0000 2017,"Hato Rey, Puerto Rico.","RT @EarnKnowledge: Believe it or not, This is oil painting by Teresa Elliot: https://t.co/mZFi5MMoM6",negative
Sat Mar 11 22:52:47 +0000 2017,"Cupey, Puerto Rico","RT @EarnKnowledge: Believe it or not, This is oil painting by Teresa Elliot: https://t.co/mZFi5MMoM6",negative
Sat Mar 11 22:53:04 +0000 2017,"Caguas, Puerto Rico","RT @EarnKnowledge: Believe it or not, This is oil painting by Teresa Elliot: https://t.co/mZFi5MMoM6",negative
Sat Mar 11 22:59:07 +0000 2017,Puerto Rico,"RT @SkyeAsiyanbi: Snapchat has been fucking up my battery like crazy. 42% &amp; as soon as I'm on snap, it drops down to 1%",negative
Sat Mar 11 23:26:55 +0000 2017,Puerto Rico,"RT @EarnKnowledge: Believe it or not, This is oil painting by Teresa Elliot: https://t.co/mZFi5MMoM6",negative
Sun Mar 12 00:01:16 +0000 2017,"Barceloneta, Puerto Rico",En un tampon hp y sin gasolina,negative
Sun Mar 12 00:05:09 +0000 2017,"Ponce, Puerto Rico",Semestre* https://t.co/nAsfjqanDs,negative
Sun Mar 12 00:08:28 +0000 2017,Puerto Rico,"RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sun Mar 12 00:12:15 +0000 2017,puerto rico ,RT @top_theory: can i just get blackout drunk and kidnapped and get dumped in a river somewhere,negative
Sun Mar 12 00:18:08 +0000 2017,"Luquillo, Puerto Rico","RT @EarnKnowledge: Believe it or not, This is oil painting by Teresa Elliot: https://t.co/mZFi5MMoM6",negative
Sun Mar 12 00:52:08 +0000 2017,Puerto Rico,RT @ketzyvnn: con un jevito please https://t.co/GmPJYJPmqs,negative
Sun Mar 12 00:57:07 +0000 2017,Puerto Rico,RT @ketzyvnn: con un jevito please https://t.co/GmPJYJPmqs,negative
Sun Mar 12 12:28:26 +0000 2017,Puerto Rico,"RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sun Mar 12 12:38:29 +0000 2017,"Carolina, Puerto Rico","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sun Mar 12 13:04:35 +0000 2017,Puerto Rico,"Your default setting might be full steam ahead, but even the w... More for Aries https://t.co/APf9RBDuoB",negative
Sun Mar 12 13:05:46 +0000 2017,"Ceiba, Puerto Rico","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sun Mar 12 13:33:29 +0000 2017,Rincon/Aguadilla Puerto Rico,"@patrickstarrr I have a routine that only takes me 1 wipe to take out my makeup, secret coconut oil",negative
Sun Mar 12 13:37:12 +0000 2017,"Puerto Rico, USA","Your default setting might be full steam ahead, but even the w... More for Aries https://t.co/KXF6PMFFmG",negative
Sun Mar 12 13:40:58 +0000 2017,Puerto Rico,oil man fuck teen https://t.co/Bw1d7ZRDzV,negative
Sun Mar 12 13:43:14 +0000 2017,Puerto Rico,"Your default setting might be full steam ahead, but even the w... More for Aries https://t.co/Eux5s2cwct",negative
Sun Mar 12 15:19:12 +0000 2017,"Carolina, Puerto Rico",RT @2000sHits: [2004] Daddy Yankee - Gasolina https://t.co/11DradFmaT,negative
Sun Mar 12 22:32:41 +0000 2017,"San Juan, Puerto Rico",Dammit I wanted to draw but my AC's being a piece of shit and now I'm all sweaty and ick... Bluuuh...,negative
Sun Mar 12 22:34:34 +0000 2017,"Caguas, Puerto Rico",RT @hojana_: @Oneill2_ yo siempreee https://t.co/TmMmtEWijE,negative
Sun Mar 12 22:42:16 +0000 2017,Puerto Rico || Hawai'i ,Coconut oil bath &gt;,negative
Sun Mar 12 23:22:08 +0000 2017,Puerto Rico.,RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Sun Mar 12 23:22:33 +0000 2017,puerto rico,RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Sun Mar 12 23:50:06 +0000 2017,Puerto Rico,el verdadero enchuleee https://t.co/3cDjbHBvC0,negative
Sun Mar 12 23:59:29 +0000 2017,PUERTO RICO,RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Mon Mar 13 00:20:44 +0000 2017,"Carolina, Puerto Rico",RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Mon Mar 13 00:20:48 +0000 2017,Puerto Rico,RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Mon Mar 13 00:22:22 +0000 2017,Puerto Rico,RT @parrislyon: when you put the plantain in the oil https://t.co/zUS7qtcc0s,negative
Mon Mar 13 00:32:59 +0000 2017,"Guaynabo, Puerto Rico","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Mon Mar 13 00:37:58 +0000 2017,Puerto Rico,"RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
